login,id,node_id,avatar_url,gravatar_id,url,html_url,followers_url,following_url,gists_url,starred_url,subscriptions_url,organizations_url,repos_url,events_url,received_events_url,type,site_admin,score
A,1410106,MDQ6VXNlcjE0MTAxMDY=,https://avatars2.githubusercontent.com/u/1410106?v=4,,https://api.github.com/users/A,https://github.com/A,https://api.github.com/users/A/followers,https://api.github.com/users/A/following{/other_user},https://api.github.com/users/A/gists{/gist_id},https://api.github.com/users/A/starred{/owner}{/repo},https://api.github.com/users/A/subscriptions,https://api.github.com/users/A/orgs,https://api.github.com/users/A/repos,https://api.github.com/users/A/events{/privacy},https://api.github.com/users/A/received_events,User,False,169.37642
snyff,45491,MDQ6VXNlcjQ1NDkx,https://avatars1.githubusercontent.com/u/45491?v=4,,https://api.github.com/users/snyff,https://github.com/snyff,https://api.github.com/users/snyff/followers,https://api.github.com/users/snyff/following{/other_user},https://api.github.com/users/snyff/gists{/gist_id},https://api.github.com/users/snyff/starred{/owner}{/repo},https://api.github.com/users/snyff/subscriptions,https://api.github.com/users/snyff/orgs,https://api.github.com/users/snyff/repos,https://api.github.com/users/snyff/events{/privacy},https://api.github.com/users/snyff/received_events,User,False,66.5405
adamwiggins,177,MDQ6VXNlcjE3Nw==,https://avatars0.githubusercontent.com/u/177?v=4,,https://api.github.com/users/adamwiggins,https://github.com/adamwiggins,https://api.github.com/users/adamwiggins/followers,https://api.github.com/users/adamwiggins/following{/other_user},https://api.github.com/users/adamwiggins/gists{/gist_id},https://api.github.com/users/adamwiggins/starred{/owner}{/repo},https://api.github.com/users/adamwiggins/subscriptions,https://api.github.com/users/adamwiggins/orgs,https://api.github.com/users/adamwiggins/repos,https://api.github.com/users/adamwiggins/events{/privacy},https://api.github.com/users/adamwiggins/received_events,User,False,57.82388
Amichai,313874,MDQ6VXNlcjMxMzg3NA==,https://avatars3.githubusercontent.com/u/313874?v=4,,https://api.github.com/users/Amichai,https://github.com/Amichai,https://api.github.com/users/Amichai/followers,https://api.github.com/users/Amichai/following{/other_user},https://api.github.com/users/Amichai/gists{/gist_id},https://api.github.com/users/Amichai/starred{/owner}{/repo},https://api.github.com/users/Amichai/subscriptions,https://api.github.com/users/Amichai/orgs,https://api.github.com/users/Amichai/repos,https://api.github.com/users/Amichai/events{/privacy},https://api.github.com/users/Amichai/received_events,User,False,57.01644
adulau,3309,MDQ6VXNlcjMzMDk=,https://avatars2.githubusercontent.com/u/3309?v=4,,https://api.github.com/users/adulau,https://github.com/adulau,https://api.github.com/users/adulau/followers,https://api.github.com/users/adulau/following{/other_user},https://api.github.com/users/adulau/gists{/gist_id},https://api.github.com/users/adulau/starred{/owner}{/repo},https://api.github.com/users/adulau/subscriptions,https://api.github.com/users/adulau/orgs,https://api.github.com/users/adulau/repos,https://api.github.com/users/adulau/events{/privacy},https://api.github.com/users/adulau/received_events,User,False,56.449306
ngs,18631,MDQ6VXNlcjE4NjMx,https://avatars0.githubusercontent.com/u/18631?v=4,,https://api.github.com/users/ngs,https://github.com/ngs,https://api.github.com/users/ngs/followers,https://api.github.com/users/ngs/following{/other_user},https://api.github.com/users/ngs/gists{/gist_id},https://api.github.com/users/ngs/starred{/owner}{/repo},https://api.github.com/users/ngs/subscriptions,https://api.github.com/users/ngs/orgs,https://api.github.com/users/ngs/repos,https://api.github.com/users/ngs/events{/privacy},https://api.github.com/users/ngs/received_events,User,False,54.637264
aarizaq,62071,MDQ6VXNlcjYyMDcx,https://avatars1.githubusercontent.com/u/62071?v=4,,https://api.github.com/users/aarizaq,https://github.com/aarizaq,https://api.github.com/users/aarizaq/followers,https://api.github.com/users/aarizaq/following{/other_user},https://api.github.com/users/aarizaq/gists{/gist_id},https://api.github.com/users/aarizaq/starred{/owner}{/repo},https://api.github.com/users/aarizaq/subscriptions,https://api.github.com/users/aarizaq/orgs,https://api.github.com/users/aarizaq/repos,https://api.github.com/users/aarizaq/events{/privacy},https://api.github.com/users/aarizaq/received_events,User,False,51.72161
joshhartigan,5961708,MDQ6VXNlcjU5NjE3MDg=,https://avatars0.githubusercontent.com/u/5961708?v=4,,https://api.github.com/users/joshhartigan,https://github.com/joshhartigan,https://api.github.com/users/joshhartigan/followers,https://api.github.com/users/joshhartigan/following{/other_user},https://api.github.com/users/joshhartigan/gists{/gist_id},https://api.github.com/users/joshhartigan/starred{/owner}{/repo},https://api.github.com/users/joshhartigan/subscriptions,https://api.github.com/users/joshhartigan/orgs,https://api.github.com/users/joshhartigan/repos,https://api.github.com/users/joshhartigan/events{/privacy},https://api.github.com/users/joshhartigan/received_events,User,False,51.026077
xxczaki,22645979,MDQ6VXNlcjIyNjQ1OTc5,https://avatars3.githubusercontent.com/u/22645979?v=4,,https://api.github.com/users/xxczaki,https://github.com/xxczaki,https://api.github.com/users/xxczaki/followers,https://api.github.com/users/xxczaki/following{/other_user},https://api.github.com/users/xxczaki/gists{/gist_id},https://api.github.com/users/xxczaki/starred{/owner}{/repo},https://api.github.com/users/xxczaki/subscriptions,https://api.github.com/users/xxczaki/orgs,https://api.github.com/users/xxczaki/repos,https://api.github.com/users/xxczaki/events{/privacy},https://api.github.com/users/xxczaki/received_events,User,False,50.720333
prodigeni,1476070,MDQ6VXNlcjE0NzYwNzA=,https://avatars3.githubusercontent.com/u/1476070?v=4,,https://api.github.com/users/prodigeni,https://github.com/prodigeni,https://api.github.com/users/prodigeni/followers,https://api.github.com/users/prodigeni/following{/other_user},https://api.github.com/users/prodigeni/gists{/gist_id},https://api.github.com/users/prodigeni/starred{/owner}{/repo},https://api.github.com/users/prodigeni/subscriptions,https://api.github.com/users/prodigeni/orgs,https://api.github.com/users/prodigeni/repos,https://api.github.com/users/prodigeni/events{/privacy},https://api.github.com/users/prodigeni/received_events,User,False,50.512234
AHXR,27564220,MDQ6VXNlcjI3NTY0MjIw,https://avatars2.githubusercontent.com/u/27564220?v=4,,https://api.github.com/users/AHXR,https://github.com/AHXR,https://api.github.com/users/AHXR/followers,https://api.github.com/users/AHXR/following{/other_user},https://api.github.com/users/AHXR/gists{/gist_id},https://api.github.com/users/AHXR/starred{/owner}{/repo},https://api.github.com/users/AHXR/subscriptions,https://api.github.com/users/AHXR/orgs,https://api.github.com/users/AHXR/repos,https://api.github.com/users/AHXR/events{/privacy},https://api.github.com/users/AHXR/received_events,User,False,50.02939
iizvv,15830996,MDQ6VXNlcjE1ODMwOTk2,https://avatars3.githubusercontent.com/u/15830996?v=4,,https://api.github.com/users/iizvv,https://github.com/iizvv,https://api.github.com/users/iizvv/followers,https://api.github.com/users/iizvv/following{/other_user},https://api.github.com/users/iizvv/gists{/gist_id},https://api.github.com/users/iizvv/starred{/owner}{/repo},https://api.github.com/users/iizvv/subscriptions,https://api.github.com/users/iizvv/orgs,https://api.github.com/users/iizvv/repos,https://api.github.com/users/iizvv/events{/privacy},https://api.github.com/users/iizvv/received_events,User,False,49.78273
Saqoosha,27694,MDQ6VXNlcjI3Njk0,https://avatars3.githubusercontent.com/u/27694?v=4,,https://api.github.com/users/Saqoosha,https://github.com/Saqoosha,https://api.github.com/users/Saqoosha/followers,https://api.github.com/users/Saqoosha/following{/other_user},https://api.github.com/users/Saqoosha/gists{/gist_id},https://api.github.com/users/Saqoosha/starred{/owner}{/repo},https://api.github.com/users/Saqoosha/subscriptions,https://api.github.com/users/Saqoosha/orgs,https://api.github.com/users/Saqoosha/repos,https://api.github.com/users/Saqoosha/events{/privacy},https://api.github.com/users/Saqoosha/received_events,User,False,49.341938
ufoym,2270240,MDQ6VXNlcjIyNzAyNDA=,https://avatars1.githubusercontent.com/u/2270240?v=4,,https://api.github.com/users/ufoym,https://github.com/ufoym,https://api.github.com/users/ufoym/followers,https://api.github.com/users/ufoym/following{/other_user},https://api.github.com/users/ufoym/gists{/gist_id},https://api.github.com/users/ufoym/starred{/owner}{/repo},https://api.github.com/users/ufoym/subscriptions,https://api.github.com/users/ufoym/orgs,https://api.github.com/users/ufoym/repos,https://api.github.com/users/ufoym/events{/privacy},https://api.github.com/users/ufoym/received_events,User,False,48.674534
kkmonlee,6388711,MDQ6VXNlcjYzODg3MTE=,https://avatars1.githubusercontent.com/u/6388711?v=4,,https://api.github.com/users/kkmonlee,https://github.com/kkmonlee,https://api.github.com/users/kkmonlee/followers,https://api.github.com/users/kkmonlee/following{/other_user},https://api.github.com/users/kkmonlee/gists{/gist_id},https://api.github.com/users/kkmonlee/starred{/owner}{/repo},https://api.github.com/users/kkmonlee/subscriptions,https://api.github.com/users/kkmonlee/orgs,https://api.github.com/users/kkmonlee/repos,https://api.github.com/users/kkmonlee/events{/privacy},https://api.github.com/users/kkmonlee/received_events,User,False,48.57045
machinaut,79779,MDQ6VXNlcjc5Nzc5,https://avatars3.githubusercontent.com/u/79779?v=4,,https://api.github.com/users/machinaut,https://github.com/machinaut,https://api.github.com/users/machinaut/followers,https://api.github.com/users/machinaut/following{/other_user},https://api.github.com/users/machinaut/gists{/gist_id},https://api.github.com/users/machinaut/starred{/owner}{/repo},https://api.github.com/users/machinaut/subscriptions,https://api.github.com/users/machinaut/orgs,https://api.github.com/users/machinaut/repos,https://api.github.com/users/machinaut/events{/privacy},https://api.github.com/users/machinaut/received_events,User,False,47.955715
austinkelleher,3771924,MDQ6VXNlcjM3NzE5MjQ=,https://avatars0.githubusercontent.com/u/3771924?v=4,,https://api.github.com/users/austinkelleher,https://github.com/austinkelleher,https://api.github.com/users/austinkelleher/followers,https://api.github.com/users/austinkelleher/following{/other_user},https://api.github.com/users/austinkelleher/gists{/gist_id},https://api.github.com/users/austinkelleher/starred{/owner}{/repo},https://api.github.com/users/austinkelleher/subscriptions,https://api.github.com/users/austinkelleher/orgs,https://api.github.com/users/austinkelleher/repos,https://api.github.com/users/austinkelleher/events{/privacy},https://api.github.com/users/austinkelleher/received_events,User,False,47.76768
noidontdig,1229810,MDQ6VXNlcjEyMjk4MTA=,https://avatars1.githubusercontent.com/u/1229810?v=4,,https://api.github.com/users/noidontdig,https://github.com/noidontdig,https://api.github.com/users/noidontdig/followers,https://api.github.com/users/noidontdig/following{/other_user},https://api.github.com/users/noidontdig/gists{/gist_id},https://api.github.com/users/noidontdig/starred{/owner}{/repo},https://api.github.com/users/noidontdig/subscriptions,https://api.github.com/users/noidontdig/orgs,https://api.github.com/users/noidontdig/repos,https://api.github.com/users/noidontdig/events{/privacy},https://api.github.com/users/noidontdig/received_events,User,False,47.607334
liuwons,9864950,MDQ6VXNlcjk4NjQ5NTA=,https://avatars2.githubusercontent.com/u/9864950?v=4,,https://api.github.com/users/liuwons,https://github.com/liuwons,https://api.github.com/users/liuwons/followers,https://api.github.com/users/liuwons/following{/other_user},https://api.github.com/users/liuwons/gists{/gist_id},https://api.github.com/users/liuwons/starred{/owner}{/repo},https://api.github.com/users/liuwons/subscriptions,https://api.github.com/users/liuwons/orgs,https://api.github.com/users/liuwons/repos,https://api.github.com/users/liuwons/events{/privacy},https://api.github.com/users/liuwons/received_events,User,False,47.324326
antiface,1619852,MDQ6VXNlcjE2MTk4NTI=,https://avatars0.githubusercontent.com/u/1619852?v=4,,https://api.github.com/users/antiface,https://github.com/antiface,https://api.github.com/users/antiface/followers,https://api.github.com/users/antiface/following{/other_user},https://api.github.com/users/antiface/gists{/gist_id},https://api.github.com/users/antiface/starred{/owner}{/repo},https://api.github.com/users/antiface/subscriptions,https://api.github.com/users/antiface/orgs,https://api.github.com/users/antiface/repos,https://api.github.com/users/antiface/events{/privacy},https://api.github.com/users/antiface/received_events,User,False,46.93368
Alwahsh,3496597,MDQ6VXNlcjM0OTY1OTc=,https://avatars3.githubusercontent.com/u/3496597?v=4,,https://api.github.com/users/Alwahsh,https://github.com/Alwahsh,https://api.github.com/users/Alwahsh/followers,https://api.github.com/users/Alwahsh/following{/other_user},https://api.github.com/users/Alwahsh/gists{/gist_id},https://api.github.com/users/Alwahsh/starred{/owner}{/repo},https://api.github.com/users/Alwahsh/subscriptions,https://api.github.com/users/Alwahsh/orgs,https://api.github.com/users/Alwahsh/repos,https://api.github.com/users/Alwahsh/events{/privacy},https://api.github.com/users/Alwahsh/received_events,User,False,46.657013
maruel,75011,MDQ6VXNlcjc1MDEx,https://avatars2.githubusercontent.com/u/75011?v=4,,https://api.github.com/users/maruel,https://github.com/maruel,https://api.github.com/users/maruel/followers,https://api.github.com/users/maruel/following{/other_user},https://api.github.com/users/maruel/gists{/gist_id},https://api.github.com/users/maruel/starred{/owner}{/repo},https://api.github.com/users/maruel/subscriptions,https://api.github.com/users/maruel/orgs,https://api.github.com/users/maruel/repos,https://api.github.com/users/maruel/events{/privacy},https://api.github.com/users/maruel/received_events,User,False,46.63578
zedshaw,358171,MDQ6VXNlcjM1ODE3MQ==,https://avatars2.githubusercontent.com/u/358171?v=4,,https://api.github.com/users/zedshaw,https://github.com/zedshaw,https://api.github.com/users/zedshaw/followers,https://api.github.com/users/zedshaw/following{/other_user},https://api.github.com/users/zedshaw/gists{/gist_id},https://api.github.com/users/zedshaw/starred{/owner}{/repo},https://api.github.com/users/zedshaw/subscriptions,https://api.github.com/users/zedshaw/orgs,https://api.github.com/users/zedshaw/repos,https://api.github.com/users/zedshaw/events{/privacy},https://api.github.com/users/zedshaw/received_events,User,False,46.54377
andydbc,31256170,MDQ6VXNlcjMxMjU2MTcw,https://avatars1.githubusercontent.com/u/31256170?v=4,,https://api.github.com/users/andydbc,https://github.com/andydbc,https://api.github.com/users/andydbc/followers,https://api.github.com/users/andydbc/following{/other_user},https://api.github.com/users/andydbc/gists{/gist_id},https://api.github.com/users/andydbc/starred{/owner}{/repo},https://api.github.com/users/andydbc/subscriptions,https://api.github.com/users/andydbc/orgs,https://api.github.com/users/andydbc/repos,https://api.github.com/users/andydbc/events{/privacy},https://api.github.com/users/andydbc/received_events,User,False,46.458744
carsonoid,2973513,MDQ6VXNlcjI5NzM1MTM=,https://avatars0.githubusercontent.com/u/2973513?v=4,,https://api.github.com/users/carsonoid,https://github.com/carsonoid,https://api.github.com/users/carsonoid/followers,https://api.github.com/users/carsonoid/following{/other_user},https://api.github.com/users/carsonoid/gists{/gist_id},https://api.github.com/users/carsonoid/starred{/owner}{/repo},https://api.github.com/users/carsonoid/subscriptions,https://api.github.com/users/carsonoid/orgs,https://api.github.com/users/carsonoid/repos,https://api.github.com/users/carsonoid/events{/privacy},https://api.github.com/users/carsonoid/received_events,User,False,46.328583
schachmat,2626530,MDQ6VXNlcjI2MjY1MzA=,https://avatars1.githubusercontent.com/u/2626530?v=4,,https://api.github.com/users/schachmat,https://github.com/schachmat,https://api.github.com/users/schachmat/followers,https://api.github.com/users/schachmat/following{/other_user},https://api.github.com/users/schachmat/gists{/gist_id},https://api.github.com/users/schachmat/starred{/owner}{/repo},https://api.github.com/users/schachmat/subscriptions,https://api.github.com/users/schachmat/orgs,https://api.github.com/users/schachmat/repos,https://api.github.com/users/schachmat/events{/privacy},https://api.github.com/users/schachmat/received_events,User,False,46.266735
keesun,463657,MDQ6VXNlcjQ2MzY1Nw==,https://avatars1.githubusercontent.com/u/463657?v=4,,https://api.github.com/users/keesun,https://github.com/keesun,https://api.github.com/users/keesun/followers,https://api.github.com/users/keesun/following{/other_user},https://api.github.com/users/keesun/gists{/gist_id},https://api.github.com/users/keesun/starred{/owner}{/repo},https://api.github.com/users/keesun/subscriptions,https://api.github.com/users/keesun/orgs,https://api.github.com/users/keesun/repos,https://api.github.com/users/keesun/events{/privacy},https://api.github.com/users/keesun/received_events,User,False,45.89505
astronomersiva,7725225,MDQ6VXNlcjc3MjUyMjU=,https://avatars1.githubusercontent.com/u/7725225?v=4,,https://api.github.com/users/astronomersiva,https://github.com/astronomersiva,https://api.github.com/users/astronomersiva/followers,https://api.github.com/users/astronomersiva/following{/other_user},https://api.github.com/users/astronomersiva/gists{/gist_id},https://api.github.com/users/astronomersiva/starred{/owner}{/repo},https://api.github.com/users/astronomersiva/subscriptions,https://api.github.com/users/astronomersiva/orgs,https://api.github.com/users/astronomersiva/repos,https://api.github.com/users/astronomersiva/events{/privacy},https://api.github.com/users/astronomersiva/received_events,User,False,45.866833
ajma,136692,MDQ6VXNlcjEzNjY5Mg==,https://avatars1.githubusercontent.com/u/136692?v=4,,https://api.github.com/users/ajma,https://github.com/ajma,https://api.github.com/users/ajma/followers,https://api.github.com/users/ajma/following{/other_user},https://api.github.com/users/ajma/gists{/gist_id},https://api.github.com/users/ajma/starred{/owner}{/repo},https://api.github.com/users/ajma/subscriptions,https://api.github.com/users/ajma/orgs,https://api.github.com/users/ajma/repos,https://api.github.com/users/ajma/events{/privacy},https://api.github.com/users/ajma/received_events,User,False,45.83145
Curzibn,4538051,MDQ6VXNlcjQ1MzgwNTE=,https://avatars2.githubusercontent.com/u/4538051?v=4,,https://api.github.com/users/Curzibn,https://github.com/Curzibn,https://api.github.com/users/Curzibn/followers,https://api.github.com/users/Curzibn/following{/other_user},https://api.github.com/users/Curzibn/gists{/gist_id},https://api.github.com/users/Curzibn/starred{/owner}{/repo},https://api.github.com/users/Curzibn/subscriptions,https://api.github.com/users/Curzibn/orgs,https://api.github.com/users/Curzibn/repos,https://api.github.com/users/Curzibn/events{/privacy},https://api.github.com/users/Curzibn/received_events,User,False,45.538162
